"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
7,8.96048,0.662347,nan,7.05318,-3.8466,13.5787,-10.6134,9.0642,3.8558,1.62349,7.76953,-5.63416
10,5.83506,-1.91112,6.16262,9.40376,-6.85716,11.6598,-8.21644,4.61204,4.45172,-0.500779,2.30218,3.605
10,5.85969,-2.69639,6.96419,10.3636,-6.99147,nan,-9.12161,nan,3.3119,-0.66194,2.45927,0.77965
10,1.87093,2.35992,4.81523,10.7131,-5.40828,11.316,-7.75189,8.26122,2.81724,-0.671799,2.53009,2.58138
10,6.45318,3.2756,2.98869,10.7018,-7.43619,10.0012,-6.88597,5.1916,2.46111,0.530241,3.56443,0.223712
10,4.30918,1.83727,3.78087,8.90696,-5.5262,12.0159,-8.50144,6.83482,2.26284,-0.0221879,5.37243,2.54505
7,8.79056,-0.0453397,3.00207,2.41635,-4.12043,nan,-9.62558,11.7551,2.77943,-0.317435,9.01579,-2.73173
10,6.92865,2.18016,2.11611,10.8535,nan,nan,nan,4.16183,3.18046,-2.1192,3.54939,3.36918
10,nan,-3.07885,9.57289,8.00391,-8.8141,14.0373,-8.03588,5.14101,nan,0.236383,1.53476,-2.50707
10,6.38145,0.64699,5.26193,10.6568,-1.68366,16.7794,-6.24093,8.42163,2.44122,1.09791,7.51777,1.34443
10,nan,4.89093,4.98566,14.4396,-6.7648,11.0905,-5.14186,5.80135,3.29377,-0.755672,2.22707,0.217721
7,7.38221,nan,nan,8.09206,-3.40216,12.8854,-9.14442,7.95706,3.01396,1.17345,7.26917,-4.62988
7,8.4016,-1.66778,6.88732,7.69889,-2.71195,16.8118,-7.72126,5.93664,4.6768,1.99372,8.29393,1.28792
7,9.49417,4.51345,0.91867,9.18279,-5.47598,12.8609,-7.18428,nan,4.37082,-0.999696,6.06799,-2.26487
7,4.84105,3.78926,4.47374,6.68375,-1.17873,13.7234,nan,9.96116,1.39379,-0.158923,8.35096,-3.80509
7,nan,4.75002,1.56617,nan,-0.903317,12.9962,-9.28922,10.3698,1.34596,1.33971,6.82345,-2.66334
10,-1.69365,4.64864,3.0125,5.69228,-4.02749,14.1413,-6.13665,9.04796,0.737424,nan,nan,0.0175849
7,10.4079,0.915515,4.31144,7.91872,-6.38479,13.6743,-7.60862,8.23512,3.55839,-0.573203,8.3441,nan
7,9.27318,1.96932,4.42851,6.91269,-4.32426,15.7215,-9.33113,8.65331,3.76761,nan,8.51329,-3.01697
7,10.1732,3.07476,2.55023,11.6748,-2.75642,14.2938,-6.75529,7.83276,4.48846,2.69292,4.56085,-2.42876
7,5.56094,1.0417,nan,7.88154,-3.54741,13.4907,nan,9.55473,2.56414,-1.5389,7.31565,-2.80505
10,3.83805,-0.357595,4.74525,7.8311,-5.30653,14.018,-7.48189,5.62723,1.45237,0.999063,4.89577,nan
10,4.04844,4.51149,1.36615,11.3767,-2.07772,15.5557,-4.59746,9.60123,2.82754,nan,5.45342,-1.36527
7,11.1159,-1.09561,4.0876,11.7418,-2.32848,14.6665,-8.20877,nan,nan,2.07439,6.8119,-3.54427
10,3.29767,1.93616,2.77035,8.35852,-1.2578,13.6459,-6.60405,9.80239,nan,-0.186125,8.89406,0.034699
10,-0.85426,4.08578,2.73875,12.6442,0.678626,13.876,-6.64724,9.36976,2.941,3.8488,6.65469,0.347823
7,5.87297,2.57219,5.39042,8.62431,-3.22565,12.3819,-10.6912,9.43245,3.86261,-0.180262,nan,nan
7,4.08395,2.62331,1.54841,7.36427,-2.34016,nan,-7.55735,8.66598,4.42499,1.07385,5.547,-0.145293
7,10.5729,-0.569507,2.78142,7.01073,-5.08695,nan,-10.3411,7.55871,3.7644,1.70729,8.4588,-5.55612
10,8.14274,-1.19025,7.90286,7.29823,-7.87417,13.7002,-7.82776,7.4015,2.34293,-2.66731,1.7546,nan
10,2.42285,3.96878,nan,10.4231,-0.472538,14.7042,-7.16355,9.75328,2.2985,2.25307,7.55167,-1.25983
7,5.0594,0.225148,5.46981,6.82495,-3.45838,14.7664,-9.02921,9.6437,1.11225,0.093479,6.90607,-3.48147
7,5.62669,6.64671,3.25283,6.99831,nan,14.0292,-8.44909,11.2418,2.87392,-2.19545,6.94125,-2.21532
10,4.72907,3.14705,nan,5.30957,-8.48645,14.6158,-4.8565,8.90144,2.40835,0.0657351,6.23425,1.61897
10,5.60397,2.73961,1.82617,10.238,nan,10.6432,-6.46845,5.86319,3.74992,-1.60967,3.72524,1.35445
7,nan,6.66833,-1.63539,7.44542,-1.01736,14.6931,-7.27947,8.54958,1.79232,-1.00587,nan,-1.76987
7,7.16728,3.49794,5.2655,5.81287,-3.99641,15.0353,-8.10151,11.2172,2.89802,-1.56845,7.32623,-2.53628
10,nan,-0.0287536,nan,7.89982,-5.67407,13.7933,-7.83532,nan,0.683907,-0.522253,2.09633,-2.22164
7,6.71246,4.01763,4.00277,6.7078,-4.65534,15.1256,-7.97306,nan,2.83764,0.229732,6.8172,-1.96423
10,13.9502,-5.1421,3.34226,14.4728,-1.12201,17.2977,-8.85944,5.73447,-0.458168,1.02935,10.5939,-5.59019
